,category,scientific_name,common_names,conservation_status
726,Vascular Plant,Triphora trianthophora,Nodding Pogonia,
949,Vascular Plant,Solidago speciosa var. speciosa,Showy Goldenrod,
5544,Vascular Plant,Luzula subcongesta,Donner Woodrush,
948,Vascular Plant,Solidago speciosa var. rigidiuscula,Showy Goldenrod,
5017,Vascular Plant,Eriogonum nudum var. deductum,Naked Buckwheat,
947,Vascular Plant,Solidago speciosa var. erecta,Erect Goldenrod,
95,Bird,Buteo jamaicensis,Red-Tailed Hawk,
730,Vascular Plant,Ageratina altissima,White Snakeroot,
731,Vascular Plant,Ageratina altissima var. altissima,White Snakeroot,
732,Vascular Plant,Ageratina altissima var. roanensis,White Snakeroot,
753,Vascular Plant,Bidens bipinnata,Spanish-Needles,
796,Vascular Plant,Erigeron,"Daisy, Fleabane",
940,Vascular Plant,Solidago juncea,Early Goldenrod,
5441,Vascular Plant,Juniperus occidentalis,Western Juniper,
87,Mammal,Condylura cristata,Star-Nosed Mole,
5314,Vascular Plant,Penstemon azureus var. angustissimus,Azure Penstemon,
5019,Vascular Plant,Eriogonum nudum var. scapigerum,Naked Buckwheat,
107,Bird,Anas americana,American Wigeon,
5243,Vascular Plant,Scutellaria bolanderi ssp. bolanderi,Sierra Skullcap,
728,Vascular Plant,Hemerocallis lilioasphodelus,Yellow Day-Lily,
1436,Vascular Plant,Quercus bicolor,Swamp White Oak,
5543,Vascular Plant,Luzula orestera,Sierra Woodrush,
5411,Vascular Plant,Clarkia unguiculata,Elegant Clarkia,
54,Mammal,Neotoma floridana,Eastern Woodrat,
